tweet_id,Text
1,dr. fauci must be charged for being a 'pandemic planner'. he lied to everyone about 'covid'. his own emails prove this. lock him up.;;;
59,healthcare 4 all but how will we pay for it. student debt forgiveness but how will we pay for it. clean air but how will we pay for it. clean water but how will we pay for it. food & housing for poor but how will we pay for it. djts election risk $1.5 t. #democraticsocialism.;;;
60,imagine having one life and wasting it on being an anti vaccine activist. to dedicate yourself to attacking something that has saved hundreds of millions of lives. so misguided.;;;
61,"""fox news entlarvt die """"great reset""""agenda des wef als faschistische agenda mit dem ziel, die menschen wie leibeigene zu beherrschen: """"das wef ist eine fanatische politische organisation, die angst und manipulation einsetzt, wie die covidhysterie oder den schwindel der."";;;"
62,"""after covid, why should i trust our government on anything? our government told us the following about the covid mrna vaccine: 1. it was safe. 2. it was effective. 3. it would stop the covid virus in its tracks. 4. it would stay in the deltoid muscle. 5. it had minimum side."";;;"
63,the north carolina supreme court has given a family the green light to sue their school district after a boy was forcibly vaccinated with a covid mrna injection without parental consent. the state high court ruled that a mother and her son can file a lawsuit against the public.;;;
64,"""arrest dr. fauci and bill gates for colluding with the cdc, nih and fda to inject our world with an 'experimental covid vaccine' that causes a.i.d.s."";;;"
65,"""sen. ron johnson, in conversation with neil oliver: """"there are basically three groups of individuals in the world today."""". """"the largest group... just want to forget covid... whether they were either harmed, or whether they caused harm."""". """"then there's the group [whose] eyes were."";;;"
66,"""maha isn't going after the vaccine industry, they're going after food stamps that people in poverty are forced to use. maga isn't going after """"illegal criminals"""", they're going after protestors of israel who are here legally. what they sell you is never what you get."";;;"
67,"""breaking with rfk jr's leadership, the cdc just canceled $11 billion for covid funding. the covid """"vaccine"""" should be banned. i fully support this."";;;"
68,"""expfizer executive, dr. mike yeadon: """"there wasn't a pandemic... it's a lie."""". """"the socalled humaninduced climate change crisisthat's all a lie as well."""". """"they chose these two topics to scare people, because they realized it would force a response from above the level of."";;;"
69,"""we could have had a real covid warrior, @flsurgeongen as our director of the cdc. he stood up to covid tyranny & said f$k that! i'm concerned about @cdcdirector's obsession with ai making health better for humans & her support for biochemical research. plus biden supports."";;;"
70,people who want the police to come to your house and take your gun (and during covid they wanted to forcefully vaccinate you) don't get to cry and lie that they were harassed at their home.;;;
71,trump's cabinet picks are some of the least qualified in history. the only qualifications needed are donations and loyalty. americans died from his first administration's poor response to a pandemic. you better believe we are on track for another fatal disaster.;;;
72,"""ryan is right, but we have this capability. it's the dod mobility classified capability (dmcc), and comes in both secret and top secret forms. these are supplemented by classified implementations of o365. most of this came about in the wake of covid (or at least saw increased."";;;"
73,don't forget: obama's irs targeting of patriots. the covid criminals. 9/11. 2020 (and every election) rigging. epsteins clients. jfk assassination. euromadian coup. the afghan loot drop. the trump assassination attempts. pay to play in congress. foreign influence in education. the treasury.;;;
74,a federal law granting broad immunity to vaccine administrators and others does not preempt charges that a mother's constitutional rights were violated when her son was given a covid19 vaccine without her consent.;;;
75,"""today marks a significant anniversary in new york state history. five years ago, thengovernor @andrewcuomo signed an executive order requiring nursing homes to accept covidpositive patients. let's not forget the cascading failures of leadership across the state: only one."";;;"
76,"""l'eurodeputata tedesca christine anderson: il covid e stato un pretesto per il controllo totalitario. l'eurodeputata tedesca christine anderson ha duramente criticato le azioni del governo durante la pandemia di covid, sostenendo che si trattava semplicemente di un pretesto per."";;;"
77,a family has been cleared to sue after a 14yearold boy was given the covid shot without parental consent at a clinic on school grounds. what would be a just ruling in this case? @hayleycaronia reacts.;;;
78,would you rather experience another pandemic or throw this man in prison?;;;
79,regime type: afghanistan: authority. argentina: flawed democracy. australia: full democracy. austria: full democracy. bangladesh: hybrid regime. belarus: authority. brazil: flawed democracy. canada: full democracy. china: authority. denmark: full democracy.;;;
80,"""holy cow! the people of (a)_________ are being denied food aid by (b) _________! the thing is, there are multiple answers, and most people don't want to talk about any of them. a=north carolina, b=fema. a=gaza, b=israel. a=homeless vets, b=local governments. a=people of earth,."";;;"
81,"""to much unnaturall stuff going on if you don't see it you're dumb. variants, food recalls, shortages, immigrants, racism, division, energy prices, forced medical, mandates, stimulus, trillions wasted tax money, afghanistan. communists destroying america."";;;"
82,"""facebook used its monopoly power to censor conservatives for a decade. destroyed businesses. banned people for questioning the covid19 """"vaccine."""" it must be broken up."";;;"
83,"""kamala harris on covid19: """"over 220 million americans...dled"""". ???"";;;"
84,the nhs national booking system has opened for eligible people to book in their spring covid19 jab. i'd encourage all eligible londonersincluding adults aged 75+ years and people with a weakened immune systemto protect themselves by getting vaccinated.;;;
85,"""today, i stood at the covid memorial wall in cobble hill to honor the 15,000+ moms, dads, grandparents, and loved ones we lost due to andrew cuomo's disturbed nursing home mandate. his arrogance and failed leadership cost lives. i am proud to stand with fellow new yorkers."";;;"
86,spare me your crocodile tears. not one of you stood up when people lost their jobs to a vaccine mandate issued under biden! i watched half this country turn into fullblown nazis overnight. i have zero sympathy for any of you cowards.;;;
87,this was one of my favorite clips from the covid insanity. watch @joerogan make dr. sanjay gupta squirm as he calls out cnn's lies.;;;
88,"""breaking: north carolina court smashes vaccine overreach: no more hiding behind immunity. in a 52 gut punch to forced jabs, north carolina's supreme court ruled on march 21, 2025, that emily happel and her 14yearold son, tanner smith, can sue a public school and doctors'."";;;"
89,"""arrest dr. fauci for genocide. """"excess mortality, negative efficacy and dna contamination. the evidence is overwhelming...any one of these three grounds should demand the immediate market withdrawal of the 'covid19 injections'...""""."";;;"
90,"""there is no such thing as """"turbo cancer"""". it is a term exclusively used by antivaccine propagandists to scare you."";;;"
91,"""just in: after the historic win against the chinese communist party for unleashing the covid19 pandemic, missouri will move to collect the $24 billion judgment and, if necessary, seize chineseowned assets including missouri farmland."";;;"
92,currently happening. enlisted members of the 231 show up at joint base charleston to support military brother ssgt lance castle at his court martial vs the unlawful and unconstitutional bio weapon covid19 injection and unlawful retaliation against him for his stance. his.;;;
93,1) pull the mrna shots. 2) ban big pharma tv advertising. 3) cease all funding/promotion/approval for future mrna until a full vetting of the process for the covid ones is completed.;;;
94,"""""""for me, this socalled pandemic will be over once the responsible have been arrested, stood trial, and have been convicted of the crimes that they committed against humanity."""". agree or disagree?"";;;"
95,"""dr. mike yeadon, former vice president at pfizer: the deliberately harmful rollout of socalled covid """"vaccines"""" is """"part of a longplanned assault by powerful, wealthy people operating above the level of nation"""". """"organisations like the un, the who... [and] the wef are."";;;"
96,"""what the hell """"leaky vaccine"""" usda conditionally approved a license for an avian flu vaccine for chickens. rfk jr: all of my agencies cdc, nih, fda advise against vaccination of birds because if you vaccinate with a leaky vaccine, you turn those flocks into mutation."";;;"
97,"""randi weingarten is fighting to keep her salary, not for the education of children. grim news: reading and math scores on the nation's report card show that students across the board haven't rebounded from the pandemicand in many cases, achievement is still declining. not a."";;;"
98,left vs right vs white vs black vs christian vs muslim vs jewish vs straight vs gay vs lgbtjxje123 vs rich vs poor vs middle class vs vaxxed vs unvaxxed vs climate alarmists vs climate deniers. governments are feeding us all bullshit to keep us fighting each other. why?;;;
99,"""she is not maga, and she is definitely not maha. she supports the covid and gain of function. we need him to rethink this cdc nomination asap!!!!! @potus @susiewiles. this is fauci 2.0....."";;;"
100,dear @robertkennedyjr please let all 50 states have ivermectin as an otc medication! riley gaines tells her story on how ivm beat 'bioweapon' covid & how this potential wonder drug works against cancers (mel gibson on joe rogan)!! comment if you'd like to share your story!;;;
